system:index,X2014-06-01_tcg_mean,X2015-06-01_tcg_mean,X2016-06-01_tcg_mean,X2017-06-01_tcg_mean,X2018-06-01_tcg_mean,X2019-06-01_tcg_mean,X2020-06-01_tcg_mean,X2021-06-01_tcg_mean,plot,.geo
0,0.260049343,,0.278832436,0.223503605,0.239903376,0.260385454,0.27996999,0.267559618,Q1,"{""type"":""Point"",""coordinates"":[-72.27716765620943,42.497074648074296]}"
1,0.337212503,,0.312981606,0.127429292,0.31403625,0.258738905,0.299848229,0.300728202,Q3,"{""type"":""Point"",""coordinates"":[-72.27501391040062,42.49161224928382]}"
2,0.311006159,,0.274340868,,0.252045035,0.277246177,0.302134454,0.288008392,Q5,"{""type"":""Point"",""coordinates"":[-72.27730588834208,42.48709072081563]}"
3,0.294973016,,0.194520012,0.110294253,0.195407957,0.222597659,0.241580904,0.250788987,Q6,"{""type"":""Point"",""coordinates"":[-72.27255248661912,42.484874547592064]}"
4,0.342918158,,0.302534252,0.28138414,,0.316801786,0.348140538,0.328501523,Q8,"{""type"":""Point"",""coordinates"":[-72.26960502082278,42.47962618565216]}"
5,0.339537978,0.316997051,0.276967764,0.193332359,,0.287705779,0.307685673,0.292445362,Q9,"{""type"":""Point"",""coordinates"":[-72.27649879105141,42.47751703085388]}"
6,0.328197509,0.334666461,0.218316495,,,0.234956086,0.263481557,0.274805814,Q10,"{""type"":""Point"",""coordinates"":[-72.27157148438735,42.47632199177156]}"
7,0.272788763,0.267365932,0.162165239,0.153379321,,0.160593987,0.192054242,0.175215721,Q11,"{""type"":""Point"",""coordinates"":[-72.27154472978104,42.47107362983166]}"
8,0.339841127,0.355399787,0.297794253,0.194490954,,0.288203776,0.3221609,0.325569093,Q12,"{""type"":""Point"",""coordinates"":[-72.27558467533547,42.4671139480962]}"
9,0.342995018,0.345011383,0.298655838,0.284156442,,0.30605939,0.320594668,0.308874071,QH,"{""type"":""Point"",""coordinates"":[-72.31336217946026,42.53109313001104]}"
0000000000000000000a,0.355929047,0.325469911,0.27749145,0.267557025,0.267735124,0.282770157,0.284370899,0.266228825,SC,"{""type"":""Point"",""coordinates"":[-72.167585247821,42.4508114746448]}"
0000000000000000000b,0.377184212,,0.305742681,0.225020766,0.329667211,0.298480123,0.333133101,0.332951784,S8,"{""type"":""Point"",""coordinates"":[-72.21808456725127,42.465918909013865]}"
